Comment,Designator, Footprint,LCSC Part #
D,D_ESC1,keyboard_parts:D_SOD123_axial,C78089
D,D_1,keyboard_parts:D_SOD123_axial,C78089
D,D_2,keyboard_parts:D_SOD123_axial,C78089
D,D_3,keyboard_parts:D_SOD123_axial,C78089
D,D_4,keyboard_parts:D_SOD123_axial,C78089
D,D_5,keyboard_parts:D_SOD123_axial,C78089
D,D_6,keyboard_parts:D_SOD123_axial,C78089
D,D_7,keyboard_parts:D_SOD123_axial,C78089
D,D_8,keyboard_parts:D_SOD123_axial,C78089
D,D_9,keyboard_parts:D_SOD123_axial,C78089
D,D_0,keyboard_parts:D_SOD123_axial,C78089
D,D_minus1,keyboard_parts:D_SOD123_axial,C78089
D,D_plus1,keyboard_parts:D_SOD123_axial,C78089
D,D_tilde1,keyboard_parts:D_SOD123_axial,C78089
D,D_DEL1,keyboard_parts:D_SOD123_axial,C78089
D,D_HOME1,keyboard_parts:D_SOD123_axial,C78089
D,D_PGUP1,keyboard_parts:D_SOD123_axial,C78089
D,D_TAB1,keyboard_parts:D_SOD123_axial,C78089
D,D_Q1,keyboard_parts:D_SOD123_axial,C78089
D,D_W1,keyboard_parts:D_SOD123_axial,C78089
D,D_E1,keyboard_parts:D_SOD123_axial,C78089
D,D_R1,keyboard_parts:D_SOD123_axial,C78089
D,D_T1,keyboard_parts:D_SOD123_axial,C78089
D,D_Y1,keyboard_parts:D_SOD123_axial,C78089
D,D_U1,keyboard_parts:D_SOD123_axial,C78089
D,D_I1,keyboard_parts:D_SOD123_axial,C78089
D,D_O1,keyboard_parts:D_SOD123_axial,C78089
D,D_P1,keyboard_parts:D_SOD123_axial,C78089
D,D_leftsquare1,keyboard_parts:D_SOD123_axial,C78089
D,D_rightsquare1,keyboard_parts:D_SOD123_axial,C78089
D,D_backslash1,keyboard_parts:D_SOD123_axial,C78089
D,D_END1,keyboard_parts:D_SOD123_axial,C78089
D,D_PGDN1,keyboard_parts:D_SOD123_axial,C78089
D,D_CAPLK1,keyboard_parts:D_SOD123_axial,C78089
D,D_A1,keyboard_parts:D_SOD123_axial,C78089
D,D_S1,keyboard_parts:D_SOD123_axial,C78089
D,D_D1,keyboard_parts:D_SOD123_axial,C78089
D,D_F1,keyboard_parts:D_SOD123_axial,C78089
D,D_G1,keyboard_parts:D_SOD123_axial,C78089
D,D_H1,keyboard_parts:D_SOD123_axial,C78089
D,D_J1,keyboard_parts:D_SOD123_axial,C78089
D,D_K1,keyboard_parts:D_SOD123_axial,C78089
D,D_L1,keyboard_parts:D_SOD123_axial,C78089
D,D_semicolon1,keyboard_parts:D_SOD123_axial,C78089
D,D_quote1,keyboard_parts:D_SOD123_axial,C78089
D,D_ENTER1,keyboard_parts:D_SOD123_axial,C78089
D,D_LSHIFT1,keyboard_parts:D_SOD123_axial,C78089
D,D_Z1,keyboard_parts:D_SOD123_axial,C78089
D,D_X1,keyboard_parts:D_SOD123_axial,C78089
D,D_C1,keyboard_parts:D_SOD123_axial,C78089
D,D_V1,keyboard_parts:D_SOD123_axial,C78089
D,D_B1,keyboard_parts:D_SOD123_axial,C78089
D,D_N1,keyboard_parts:D_SOD123_axial,C78089
D,D_M1,keyboard_parts:D_SOD123_axial,C78089
D,D_comma1,keyboard_parts:D_SOD123_axial,C78089
D,D_dot1,keyboard_parts:D_SOD123_axial,C78089
D,D_slash1,keyboard_parts:D_SOD123_axial,C78089
D,D_RSHIFT1,keyboard_parts:D_SOD123_axial,C78089
D,D_UP1,keyboard_parts:D_SOD123_axial,C78089
D,D_LFN1,keyboard_parts:D_SOD123_axial,C78089
D,D_LCTRL1,keyboard_parts:D_SOD123_axial,C78089
D,D_LALT1,keyboard_parts:D_SOD123_axial,C78089
D,D_LCMD1,keyboard_parts:D_SOD123_axial,C78089
D,D_space1,keyboard_parts:D_SOD123_axial,C78089
D,D_RCMD1,keyboard_parts:D_SOD123_axial,C78089
D,D_RALT1,keyboard_parts:D_SOD123_axial,C78089
D,D_LIFT1,keyboard_parts:D_SOD123_axial,C78089
D,D_RFN1,keyboard_parts:D_SOD123_axial,C78089
D,D_LT1,keyboard_parts:D_SOD123_axial,C78089
D,D_DN1,keyboard_parts:D_SOD123_axial,C78089
D,D_RT1,keyboard_parts:D_SOD123_axial,C78089
